source_file,excel_row,approval,start_date,end_date,marketing_channel,campaign_name_description,discount_level,code_type,unique_code_count,vanity_code,auto_or_manual,new_customer_only,exclusions,combinable,stackable_with_loyalty,campaign_id,disclaimer_details,notes,completed,inferred_scope,max_discount_percent
COUPON TRACKER_20260817.xlsx,3,Yes confirmed 12/19,2023-01-03,2025-06-01,Brand/Gifting initiative,Baby Bundle Inserts - 20% off New Customers,Order Level,Unique,Unique,Unique,Manually Applied,Yes,"Final Sale, Sitewide sale, Clearance (mirror New Customer)",No,Yes,HO23-BABYGIFTING-DEC,"20% off first order with code. Discount taken with code entry at checkout. One time use only. Cannot be applied to previous purchases, Final Sale, or Clearance. Not eligible during sitewide sales. Cannot be combined with other offers. Valid through 6/1/25. Not valid on select items: giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one promo code per order, cannot be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance|Baby|Sitewide,20.0
COUPON TRACKER_20260817.xlsx,4,Yes confirmed 12/19,2024-01-01,2024-12-31,CCC Customer Appeasement,20% off $100,Order Level,Unique,Unique,Unique,Manually Applied,No,,No,Yes,HO23-CCC-CODES,"Valid through 11:59pm PT on 12/31/2024. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Not valid on select items: Final Sale, giftcards, hipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one offer code per order. Excludes Hanna-Me-Downs resale transactions. Not redeemable for gift cards, cash, credit, or towards previous purchases. Not valid in retail stores or outlets. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,20.0
COUPON TRACKER_20260817.xlsx,5,Yes confirmed 12/19,2024-01-01,2024-12-31,CCC Customer Appeasement,10% off Entire Order,Order Level,Unique,Unique,Unique,Manually Applied,No,,No,Yes,HO23-CCC-CODES,"Valid through 11:59pm PT on 12/31/2024. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Not valid on select items: Final Sale, giftcards, hipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one offer code per order. Excludes Hanna-Me-Downs resale transactions. Not redeemable for gift cards, cash, credit, or towards previous purchases. Not valid in retail stores or outlets. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,10.0
COUPON TRACKER_20260817.xlsx,6,Yes confirmed 12/19,2024-01-01,2024-12-31,CCC Customer Appeasement,25% off Entire Order,Order Level,Unique,Unique,Unique,Manually Applied,No,,No,Yes,HO23-CCC-CODES,"25% Off with code: Valid through 11:59pm PT on 12/31/2024. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Not valid on select items: Final Sale, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one offer code per order. Excludes Hanna-Me-Downs resale transactions. Not redeemable for gift cards, cash, credit, or towards previous purchases. Not valid in retail stores or outlets. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,25.0
COUPON TRACKER_20260817.xlsx,7,Yes confirmed 12/19,2024-01-01,2024-12-31,CCC Customer Appeasement,$5 Free Ship,Order Level,Unique,Unique,Unique,Manually Applied,No,,No,Yes,HO23-CCC-CODES,Free standard shipping is valid on orders shipped to a single U.S. address (excluding AK and HI). Not valid on previous orders. Hanna Andersson reserves the right to make changes to promotions at any time.,,Yes,Dresses,
COUPON TRACKER_20260817.xlsx,8,Yes confirmed 12/19,2024-01-01,2024-12-31,CCC Customer Appeasement,$10 Expired Hanna Reward,Order Level,Unique,Unique,Unique,Manually Applied,No,,No,Yes,HO23-CCC-CODES,"10% off: Valid through 11:59pm PT on 12/31/2024. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Not valid on select items: Final Sale, giftcards, hipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one offer code per order. Excludes Hanna-Me-Downs resale transactions. Not redeemable for gift cards, cash, credit, or towards previous purchases. Not valid in retail stores or outlets. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,10.0
COUPON TRACKER_20260817.xlsx,9,Yes confirmed 12/19,2024-01-01,2024-12-31,CCC Customer Appeasement,15% off Entire Order,Order Level,Unique,Unique,Unique,Manually Applied,No,,No,Yes,HO23-CCC-CODES,"15% Off with code: Valid through 11:59pm PT on 12/31/2024. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Not valid on select items: Final Sale, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one offer code per order. Excludes Hanna-Me-Downs resale transactions. Not redeemable for gift cards, cash, credit, or towards previous purchases. Not valid in retail stores or outlets. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,18,Yes confirmed 1/3,2024-01-12,2024-01-15,Site,MLK Flash Sale: Extra 20% off entire order,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Final Sale, Baby Bundles",No,No,SPR24-SITE-MLKFLASH-3DAYWKND,"Flash Sale: Extra 20% off Entire Order w/ Code 3DAYWKND. Valid through 1/15/2024 at 11:59PM PST. Code must be applied in cart for discount. Exclusions may apply including Final Sale and Baby Bundles. Not valid with other offers or codes. Cannot be applied to previous purchases, no price adjustments. Offer does not apply to shipping or taxes. Not redeemable for gift cards, cash, or credit. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance|Baby,20.0
COUPON TRACKER_20260817.xlsx,10,Yes confirmed 1/3,2024-01-16,2024-01-22,Email,EXTRA 20% off Baby Sleep,Product Level,Unique,Unique,Unique,Manually Applied,No,"Clearance, Final Sale",No,No,SPR24-JAN-EMAIL-BABY20,"Extra 20% Off Baby Sleep. Valid through 1/22/2024 at 11:59PM PST. Apply your unique code in cart. Exclusions may apply including Final Sale, Clearance, and Baby Bundles. Not valid with other offers or codes. Cannot be applied to previous purchases, no price adjustments. Offer does not apply to shipping or taxes. Not redeemable for gift cards, cash, or credit. Not eligible on International orders. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Sleep/PJs|Clearance|Baby,20.0
COUPON TRACKER_20260817.xlsx,21,Yes confirmed 1/17,2024-01-19,2024-12-31,Email,20% off Welcome offer to new opt-ins (Wunderkind replenishment),Order Level,Unique,Unique,Unique,Manually Applied,Yes,"Final Sale, Sitewide sale, Clearance (mirror New Customer)",No,No,SP24_EMAIL_WELCOME20,"20% off for new Customers: Discount taken with code entry at checkout. Code entry provided on site upon clicking from this email. Cannot be applied to previous purchases. Valid for two weeks from receipt. Not valid on select items: clearance, final sale, giftcards, shipping or taxes. Limit of one per customer, cannot be combined with other offers or sitewide promotions, other exclusions may apply, see site for details. To redeem, enter code in the promo code box during checkout. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at anytime.",Wunderkind is running low on the current Welcome offer code bank and has requested a coupon bank replenishment (in CSV form) ASAP.,Yes,Clearance|Sitewide,20.0
